sentiment_code,song,artist,URL
59,0,do re mi,blackbear,https://open.spotify.com/track/2MX30RliaxJDgmQ3C3rrJX
60,0,Tonight I’m Getting Over You,Carly Rae Jepsen,https://open.spotify.com/track/471JtpRQ0oox9OoZcbB8OO
61,0,Break Free,Ariana Grande,https://open.spotify.com/track/12KUFSHFgT0XCoiSlvdQi4
62,1,First Day Out,Tee Grizzley,https://open.spotify.com/track/3muBQDekYAg7jm6hDu6R0Z
63,1,From The D To The A (feat. Lil Yachty),Tee Grizzley,https://open.spotify.com/track/2NyrXRn4tancYPW6JwtTl2
64,1,The Way Life Goes (feat. Oh Wonder),Lil Uzi Vert,https://open.spotify.com/track/2eAZfqOm4EnOF9VvN50Tyc
65,1,Say A',A Boogie Wit da Hoodie,https://open.spotify.com/track/7yeNCRqvnoAskALhUuSxwi
66,1,Power Trip (feat. Miguel),J. Cole,https://open.spotify.com/track/7FOJvA3PxiIU0DN3JjQ7jT
67,1,T-Shirt,Migos,https://open.spotify.com/track/7KOlJ92bu51cltsD9KU5I7
68,1,4 AM,2 Chainz,https://open.spotify.com/track/4r4PJQBHAE0bIKCjunhTgd
69,1,Erase Your Social,Lil Uzi Vert,https://open.spotify.com/track/4uhvMW7ly7tJil31YYscAN
70,1,Grab the Wheel,Lil Uzi Vert,https://open.spotify.com/track/3aJ66zarLOVW4o2nPDxg0g
71,1,Wyclef Jean,Young Thug,https://open.spotify.com/track/55OdqrG8WLmsYyY1jijD9b
72,1,"Guwop (feat. Quavo, Offset and Young Scooter)",Young Thug,https://open.spotify.com/track/1BSA5I386L2IAmFQURYjIz
73,1,BUTTERFLY EFFECT,Travis Scott,https://open.spotify.com/track/1yxgsra98r3qAtxqiGZPiX
74,1,Fuck Love (feat. Trippie Redd),XXXTENTACION,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
75,1,Plain Jane,A$AP Ferg,https://open.spotify.com/track/4dVpf9jZjcORqGTLUaeYj9
76,1,It's A Vibe,2 Chainz,https://open.spotify.com/track/6H0AwSQ20mo62jGlPGB8S6
77,1,Magnolia,Playboi Carti,https://open.spotify.com/track/1e1JKLEDKP7hEQzJfNAgPl
78,1,The Race,Tay-K,https://open.spotify.com/track/5RCfvwDewu6p2x1mEI6smX
79,1,Transportin',Kodak Black,https://open.spotify.com/track/1WIZiOuNO3woKfdlSK2gNn
80,1,Woke Up,Dae Dae,https://open.spotify.com/track/4Cb4Ehfj2S8UhC5JKqmJ6m
81,1,rockstar,Post Malone,https://open.spotify.com/track/1OmcAT5Y8eg5bUPv9qJT4R
82,1,Sauce It Up,Lil Uzi Vert,https://open.spotify.com/track/1uL78kFWxhz3umTMWJu8n5
83,1,Gucci Gang,Lil Pump,https://open.spotify.com/track/43ZyHQITOjhciSUUNPVRHc
84,1,Dark Queen,Lil Uzi Vert,https://open.spotify.com/track/2ZdCrBA52bb4pIG3tOOZiQ
85,1,Perplexing Pegasus,Rae Sremmurd,https://open.spotify.com/track/2nYwV62UABTH0NanrwVIdQ
86,1,Bank Account,21 Savage,https://open.spotify.com/track/2fQrGHiQOvpL9UgPvtYy6G
87,1,Everybody,Logic,https://open.spotify.com/track/7cGFbx7MP0H23iHZTZpqMM
88,1,Dubai Shit,Huncho Jack,https://open.spotify.com/track/6urLjX35oXXRYtcH1b3dCh
89,1,Modern Slavery,Huncho Jack,https://open.spotify.com/track/7J6bnDDitOwfelaJNixHhL
90,1,Huncho Jack,Huncho Jack,https://open.spotify.com/track/5vuiHi3QYbwcm1OKJOYnrf
91,1,Pull Up N Wreck (With Metro Boomin),Big Sean,https://open.spotify.com/track/0Gux2yTMWYOlcBUNjGJu5p
92,1,Big Lie,Post Malone,https://open.spotify.com/track/02opp1cycqiFNDpLd2o1J3
93,1,White Sand,Migos,https://open.spotify.com/track/2KokOIKdw4zZutDil85Ugh
94,1,Undefeated (feat. 21 Savage),A Boogie Wit da Hoodie,https://open.spotify.com/track/2vaMWMPMgsWX4fwJiKmdWm
95,1,Saint,Huncho Jack,https://open.spotify.com/track/7foypmc7KZyU716Yv63BPe
96,1,All The Stars (with SZA),Kendrick Lamar,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
97,1,"King's Dead (with Kendrick Lamar, Future & James Blake)",Kendrick Lamar,https://open.spotify.com/track/1eLSF6HfrRA0AsNmTkUlKx
98,1,X (with 2 Chainz & Saudi),Kendrick Lamar,https://open.spotify.com/track/4LmAnpjlhWTahvRkYR8xJa
99,1,Marvelous Day (feat. Lil Uzi Vert & Gunna),Kap G,https://open.spotify.com/track/4kfEy7h6bWBS5OaDpccTap
100,1,Nice For What,Drake,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
101,1,Spoil My Night (feat. Swae Lee),Post Malone,https://open.spotify.com/track/5VuxWXbt7XENQCtE9TzpTv
102,1,Mind - Le Wanderer Remix,Rae Okino,https://open.spotify.com/track/0dIOxVvEffgP9sGBjNrITg
103,1,Rich & Sad,Post Malone,https://open.spotify.com/track/2VdT56BGpdqNHUgOe1j5vc
104,1,Ric Flair Drip (& Metro Boomin),21 Savage,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
105,1,Lucid Dreams,Juice WRLD,https://open.spotify.com/track/32iYwQ4OYiurnGnOfJ1aEh
106,1,Watch (feat. Lil Uzi Vert & Kanye West),Travis Scott,https://open.spotify.com/track/3DoBTwfr8yi2LN08SBpFkN
107,1,All Girls Are The Same,Juice WRLD,https://open.spotify.com/track/3H2JThgdBxezwj1wwafQS8
108,1,Shoota (feat. Lil Uzi Vert),Playboi Carti,https://open.spotify.com/track/2BJSMvOGABRxokHKB0OI8i
109,1,Powerglide (feat. Juicy J) - From SR3MM,Rae Sremmurd,https://open.spotify.com/track/1BuZAIO8WZpavWVbbq3Lci
110,1,Lean Wit Me,Juice WRLD,https://open.spotify.com/track/3RWM7z6BF8C6z9ypLtxz4M
111,1,Reborn,KIDS SEE GHOSTS,https://open.spotify.com/track/4RVbK6cV0VqWdpCDcx3hiT
112,1,Pursuit Of Happiness (Nightmare),Kid Cudi,https://open.spotify.com/track/5iSEsR6NKjlC9SrIJkyL3k
113,1,Aftergold (feat. Tove Styrke),Big Wild,https://open.spotify.com/track/1wPRqq1czM3ny6189e56mq
114,1,SAD!,XXXTENTACION,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
115,1,66,Lil Yachty,https://open.spotify.com/track/6tarvNiKnEjYMj1VZhlDqR
